Source,Target,Weight
SDCK01,SDC01,4.0
SDCK01,SDA-04,2.0
SDCK01,SDA-01,3.0
SDCK01,SDA-07,2.0
SDCK01,DC311,2.0
SDCK01,DC103,2.0
SDCK01,MDA-01,2.0
SDCK01,DC131,2.0
SDCK01,SDA-09,2.0
SDCK01,DC121,2.0
SDCK01,DC111,2.0
SDCK01,SDA-08,2.0
SDCK01,SDA-02,2.0
SDCK01,SDA10,2.0
SDCK01,SDC03Z,2.0
SDCK01,DC102,2.0
SDCK01,SDC04Z,2.0
SDCK01,DC321,2.0
SDCK01,SDC02,3.0
SDCK01,SDA-06,2.0
KZN-11,KZN-031,3.0
KZN-11,KZN-030,2.0
KZN-11,KZN-024,2.0
KZN-11,KZN-014,3.0
KZN-11,KZN-040,2.0
KZN-11,KZN-025,2.0
KZN-11,KZN-051,3.0
KZN-11,KZN-043,2.0
KZN-11,KZN-016,3.0
KZN-11,KZN-053,2.0
KZN-11,KZN-037,2.0
KZN-11,KZN-060,2.0
KZN-11,KZN-034,2.0
KZN-11,KZN-029,2.0
KZN-11,KZN-061,3.0
KZN-11,KZN-028,2.0
KZN-11,KZN-027,2.0
KZN-11,KZN-033,2.0
KZN-11,KZN-041,3.0
KZN-11,KZN-048,2.0
KZN-11,KZN-035,2.0
KZN-11,KZN-017,3.0
KZN-11,KZN-036,2.0
KZN-11,KZN-018,3.0
KZN-11,KZN-047,2.0
KZN-11,KZN-023,2.0
KZN-11,KZN-020,2.0
KZN-11,KZN-021,3.0
KZN-11,KZN-042,2.0
KZN-11,KZN-068,2.0
KZN-11,KZN-039,2.0
KZN-11,KZN-032,2.0
KZN-11,KZN-055,2.0
KZN-11,KZN-022,2.0
KZN-11,KZN-058,2.0
KZN-11,KZN-044,2.0
KZN-11,KZN-015,3.0
KZN-11,KZN-049,2.0
KZN-11,KZN-019,3.0
KZN-11,KZN-026,2.0
KZN-11,KZN-052,2.0
KZN-11,KZN-065,2.0
KZN-11,KZN-054,2.0
KZN-11,KZN-038,2.0
KZN-57,KZN-031,2.0
KZN-57,KZN-030,2.0
KZN-57,KZN-024,2.0
KZN-57,KZN-014,2.0
KZN-57,KZN-040,2.0
KZN-57,KZN-025,2.0
KZN-57,KZN-051,3.0
KZN-57,KZN-043,2.0
KZN-57,KZN-016,2.0
KZN-57,KZN-053,3.0
KZN-57,KZN-037,3.0
KZN-57,KZN-060,2.0
KZN-57,KZN-034,2.0
KZN-57,KZN-029,2.0
KZN-57,KZN-061,2.0
KZN-57,KZN-028,2.0
KZN-57,KZN-027,3.0
KZN-57,KZN-033,2.0
KZN-57,KZN-041,2.0
KZN-57,KZN-048,2.0
KZN-57,KZN-035,2.0
KZN-57,KZN-017,3.0
KZN-57,KZN-036,2.0
KZN-57,KZN-018,2.0
KZN-57,KZN-047,3.0
KZN-57,KZN-023,2.0
KZN-57,KZN-020,2.0
KZN-57,KZN-021,2.0
KZN-57,KZN-042,2.0
KZN-57,KZN-068,2.0
KZN-57,KZN-039,2.0
KZN-57,KZN-032,2.0
KZN-57,KZN-055,3.0
KZN-57,KZN-022,2.0
KZN-57,KZN-058,3.0
KZN-57,KZN-044,2.0
KZN-57,KZN-015,2.0
KZN-57,KZN-049,2.0
KZN-57,KZN-019,2.0
KZN-57,KZN-026,2.0
KZN-57,KZN-052,3.0
KZN-57,KZN-065,2.0
KZN-57,KZN-054,3.0
KZN-57,KZN-038,2.0
206/08-A15,206-08-A21,2.0
206/08-A15,206-08-A20,2.0
206/08-A15,206-08-A14,3.0
206/08-A15,206-08-A19,3.0
206/08-A15,206-08-A13,3.0
206/08-A15,206-08-A04,2.0
206/08-A15,206-08-A05,3.0
206/08-A15,206-08-A15,4.0
206/08-A15,206-08-A09,2.0
206/08-A15,206-08-A07,2.0
206/08-A15,206-08-A12,3.0
206/08-A15,206-08-A17,3.0
206/08-A15,206-08-A16,3.0
206/08-A15,206-08-A10,3.0
206/08-A15,206-08-A02,2.0
206/08-A15,206-08-A18,3.0
204/20-W9 (WW09),204-20-W8 (WW08),2.0
204/20-W9 (WW09),204-20-W6 (WW04),2.0
204/20-W9 (WW09),204-20-W3 (WW06),2.0
204/20-W9 (WW09),204-20-W9 (WW09),4.0
204/20-W9 (WW09),204-20-W7 (WW05),2.0
STJ-1,SDC01,2.0
STJ-1,SDA-01,2.0
MA-WB,MDA-10,2.0
MA-WB,MDA-04,2.0
MA-WB,MDA-07,2.0
MA-WB,MDA-02,2.0
MA-WB,MDA-08,2.0
MA-WB,MDA-05,2.0
MA-WB,MDA-01,2.0
MA-WB,MDA-06,2.0
204/20-C12x (CP04),204-20-C12x (CP04),4.0
MA-04,MDA-10,2.0
MA-04,MDA-04,4.0
MA-04,MDA-07,3.0
MA-04,SDA-04,3.0
MA-04,SDA-01,2.0
MA-04,SDA-07,2.0
MA-04,MDA-02,3.0
MA-04,MDA-08,3.0
MA-04,MDA-05,3.0
MA-04,MDA-01,3.0
MA-04,SDA-09,2.0
MA-04,SDA-08,2.0
MA-04,MDA-06,3.0
MA-04,SDA-02,2.0
MA-04,SDA-06,2.0
KZN-45,KZN-031,2.0
KZN-45,KZN-030,2.0
KZN-45,KZN-024,2.0
KZN-45,KZN-014,2.0
KZN-45,KZN-040,3.0
KZN-45,KZN-025,3.0
KZN-45,KZN-051,3.0
KZN-45,KZN-043,3.0
KZN-45,KZN-016,2.0
KZN-45,KZN-053,3.0
KZN-45,KZN-037,2.0
KZN-45,KZN-060,2.0
KZN-45,KZN-034,2.0
KZN-45,KZN-029,2.0
KZN-45,KZN-061,2.0
KZN-45,KZN-028,2.0
KZN-45,KZN-027,2.0
KZN-45,KZN-033,2.0
KZN-45,KZN-041,3.0
KZN-45,KZN-048,3.0
KZN-45,KZN-035,3.0
KZN-45,KZN-017,2.0
KZN-45,KZN-036,2.0
KZN-45,KZN-018,2.0
KZN-45,KZN-047,3.0
KZN-45,KZN-023,2.0
KZN-45,KZN-020,2.0
KZN-45,KZN-021,2.0
KZN-45,KZN-042,3.0
KZN-45,KZN-068,2.0
KZN-45,KZN-039,2.0
KZN-45,KZN-032,2.0
KZN-45,KZN-055,3.0
KZN-45,KZN-022,2.0
KZN-45,KZN-058,3.0
KZN-45,KZN-044,3.0
KZN-45,KZN-015,3.0
KZN-45,KZN-049,3.0
KZN-45,KZN-019,2.0
KZN-45,KZN-026,2.0
KZN-45,KZN-052,3.0
KZN-45,KZN-065,3.0
KZN-45,KZN-054,3.0
KZN-45,KZN-038,2.0
KZN-67,KZN-031,2.0
KZN-67,KZN-030,2.0
KZN-67,KZN-024,2.0
KZN-67,KZN-014,2.0
KZN-67,KZN-040,2.0
KZN-67,KZN-025,2.0
KZN-67,KZN-051,2.0
KZN-67,KZN-043,2.0
KZN-67,KZN-016,2.0
KZN-67,KZN-053,2.0
KZN-67,KZN-037,3.0
KZN-67,KZN-060,3.0
KZN-67,KZN-034,2.0
KZN-67,KZN-029,2.0
KZN-67,KZN-061,3.0
KZN-67,KZN-028,2.0
KZN-67,KZN-027,3.0
KZN-67,KZN-033,2.0
KZN-67,KZN-041,2.0
KZN-67,KZN-048,2.0
KZN-67,KZN-035,2.0
KZN-67,KZN-017,3.0
KZN-67,KZN-036,2.0
KZN-67,KZN-018,2.0
KZN-67,KZN-047,3.0
KZN-67,KZN-023,2.0
KZN-67,KZN-020,2.0
KZN-67,KZN-021,2.0
KZN-67,KZN-042,2.0
KZN-67,KZN-068,3.0
KZN-67,KZN-039,2.0
KZN-67,KZN-032,2.0
KZN-67,KZN-055,2.0
KZN-67,KZN-022,2.0
KZN-67,KZN-058,2.0
KZN-67,KZN-044,2.0
KZN-67,KZN-015,2.0
KZN-67,KZN-049,2.0
KZN-67,KZN-019,2.0
KZN-67,KZN-026,2.0
