Source,Target,weight,distance
SDA-01,SDA-01,3,0
SDA-01,SDA-02,2,1
SDA-01,SDA-03,2,1
SDA-01,SDA-04,2,1
SDA-01,SDA-05,2,1
SDA-01,SDA-06,2,1
SDA-01,SDA-07,2,1
SDA-01,SDA-08,2,1
SDA-01,SDC02,0,3
SDA-01,SDC03,0,3
SDA-01,SDC04,0,3
SDA-01,SDD02,0,3
SDA-01,SDD03,0,3
SDA-01,SDD04,0,3
SDA-01,SDG-02,1,2
SDA-01,SDG-03,1,2
SDA-01,SDG-04,1,2
SDA-01,SDX-05,1,2
SDA-01,SDX-06,1,2
SDA-01,SDX-7A,0,3
SDA-01,SDA-09,2,1
SDA-01,SDA-10,1,2
SDA-01,SDA-11,2,1
SDA-01,SDA-12,1,2
SDA-01,SDCK01,1,2
SDA-01,SDCP01,1,2
SDA-01,SA-PA,0,3
SDA-01,SA-PC,0,3
SDA-01,SA-WA,0,3
SDA-01,775-01,0,3
SDA-01,776-01,0,3
SDA-01,777-01,0,3
SDA-01,778-01,0,3
SDA-01,822-01,0,3
SDA-01,DC801,0,3
SDA-01,EA-02,0,3
SDA-01,SA-01,2,1
SDA-01,SC-01,1,2
SDA-01,STJ-1,0,3
SDA-01,AA-01,1,2
SDA-01,AA-02,0,3
SDA-01,AA-03,0,3
SDA-01,AA-04,0,3
SDA-01,AA-05,0,3
SDA-01,AA-06,0,3
SDA-01,AA-07,0,3
SDA-01,AA-08,0,3
SDA-01,AA-09,0,3
SDA-01,AA-11,0,3
SDA-01,CAN-01,0,3
SDA-01,CA-01,1,2
SDA-01,CA-02,0,3
SDA-01,CA-03,0,3
SDA-01,CA-04,0,3
SDA-01,CA-05,0,3
SDA-01,CA-06,0,3
SDA-01,CA-07,0,3
SDA-01,CA-08,0,3
SDA-01,CA-09,0,3
SDA-01,FA-01,1,2
SDA-01,FA-02,0,3
SDA-01,FA-03,0,3
SDA-01,FA-04,0,3
SDA-01,FA-05,0,3
SDA-01,IA-01,1,2
SDA-01,IA-02,0,3
SDA-01,IA-03,0,3
SDA-01,IA-04,0,3
SDA-01,IA-05,0,3
SDA-01,IA-06,0,3
SDA-01,IA-07,0,3
SDA-01,IA-08,0,3
SDA-01,IA-09,0,3
SDA-01,IA-11,0,3
SDA-01,IA-21,0,3
SDA-01,JUN-01,0,3
SDA-01,KA-01,1,2
SDA-01,KA-02,0,3
SDA-01,KA-03,0,3
SDA-01,KA-04,0,3
SDA-01,KA-05,0,3
SDA-01,KA-06,0,3
SDA-01,KA-07,0,3
SDA-01,KA-08,0,3
SDA-01,KA-09,0,3
SDA-01,KA-11,0,3
SDA-01,MA-01,1,2
SDA-01,MA-02,0,3
SDA-01,MA-03,0,3
SDA-01,MA-04,0,3
SDA-01,MA-05,0,3
SDA-01,MA-06,0,3
SDA-01,MA-07,0,3
SDA-01,MA-08,0,3
SDA-01,MA-09,0,3
SDA-01,MA-11,0,3
SDA-01,MB-01,0,3
SDA-01,MAN-01,0,3
SDA-01,SAV-01,1,2
SDA-01,SAV-02,0,3
SDA-01,SAV-03,0,3
SDA-01,SAV-04,0,3
SDA-01,SAV-05,0,3
SDA-01,SAV-06,0,3
SDA-01,SAV-07,0,3
SDA-01,SER-01,1,2
SDA-01,SER-02,0,3
SDA-01,SER-03,0,3
SDA-01,SER-04,0,3
SDA-01,SER-05,0,3
SDA-01,SER-06,0,3
SDA-01,SER-07,0,3
SDA-02,SDA-01,2,1
SDA-02,SDA-02,3,0
SDA-02,SDA-03,2,1
SDA-02,SDA-04,2,1
SDA-02,SDA-05,2,1
SDA-02,SDA-06,2,1
SDA-02,SDA-07,2,1
SDA-02,SDA-08,2,1
SDA-02,SDC02,1,2
SDA-02,SDC03,0,3
SDA-02,SDC04,0,3
SDA-02,SDD02,1,2
SDA-02,SDD03,0,3
SDA-02,SDD04,0,3
SDA-02,SDG-02,2,1
SDA-02,SDG-03,1,2
SDA-02,SDG-04,1,2
SDA-02,SDX-05,1,2
SDA-02,SDX-06,1,2
SDA-02,SDX-7A,0,3
SDA-02,SDA-09,2,1
SDA-02,SDA-10,1,2
SDA-02,SDA-11,1,2
SDA-02,SDA-12,2,1
SDA-02,SDCK01,0,3
SDA-02,SDCP01,0,3
SDA-02,SA-PA,0,3
SDA-02,SA-PC,0,3
SDA-02,SA-WA,0,3
SDA-02,776-02,0,3
SDA-02,777-02,0,3
SDA-02,778-02,0,3
SDA-02,821-02,0,3
SDA-02,822-02,0,3
SDA-02,DC102,0,3
SDA-02,EA-02,1,2
SDA-02,SA-01,1,2
SDA-02,SC-01,0,3
SDA-02,AA-01,0,3
SDA-02,AA-02,1,2
SDA-02,AA-03,0,3
SDA-02,AA-04,0,3
SDA-02,AA-05,0,3
SDA-02,AA-06,0,3
SDA-02,AA-07,0,3
SDA-02,AA-08,0,3
SDA-02,AA-09,0,3
SDA-02,AA-12,0,3
SDA-02,CAN-02,0,3
SDA-02,CA-01,0,3
SDA-02,CA-02,1,2
SDA-02,CA-03,0,3
SDA-02,CA-04,0,3
SDA-02,CA-05,0,3
SDA-02,CA-06,0,3
SDA-02,CA-07,0,3
SDA-02,CA-08,0,3
SDA-02,CA-09,0,3
SDA-02,FA-01,0,3
SDA-02,FA-02,1,2
SDA-02,FA-03,0,3
SDA-02,FA-04,0,3
SDA-02,FA-05,0,3
SDA-02,IA-01,0,3
SDA-02,IA-02,1,2
SDA-02,IA-03,0,3
SDA-02,IA-04,0,3
SDA-02,IA-05,0,3
SDA-02,IA-06,0,3
SDA-02,IA-07,0,3
SDA-02,IA-08,0,3
SDA-02,IA-09,0,3
SDA-02,IA-12,0,3
SDA-02,IA-22,0,3
SDA-02,JUN-02,0,3
SDA-02,KA-01,0,3
SDA-02,KA-02,1,2
SDA-02,KA-03,0,3
SDA-02,KA-04,0,3
SDA-02,KA-05,0,3
SDA-02,KA-06,0,3
SDA-02,KA-07,0,3
SDA-02,KA-08,0,3
SDA-02,KA-09,0,3
SDA-02,KA-12,0,3
SDA-02,MA-01,0,3
SDA-02,MA-02,1,2
SDA-02,MA-03,0,3
SDA-02,MA-04,0,3
SDA-02,MA-05,0,3
SDA-02,MA-06,0,3
SDA-02,MA-07,0,3
SDA-02,MA-08,0,3
SDA-02,MA-09,0,3
SDA-02,MA-12,0,3
SDA-02,MB-02,0,3
SDA-02,MAN-02,0,3
SDA-02,SAV-01,0,3
SDA-02,SAV-02,1,2
SDA-02,SAV-03,0,3
SDA-02,SAV-04,0,3
SDA-02,SAV-05,0,3
SDA-02,SAV-06,0,3
SDA-02,SAV-07,0,3
SDA-02,SER-01,0,3
SDA-02,SER-02,1,2
SDA-02,SER-03,0,3
SDA-02,SER-04,0,3
SDA-02,SER-05,0,3
SDA-02,SER-06,0,3
SDA-02,SER-07,0,3
SDA-03X,SDA-01,1,2
SDA-03X,SDA-02,1,2
SDA-03X,SDA-03,2,1
SDA-03X,SDA-04,1,2
SDA-03X,SDA-05,1,2
SDA-03X,SDA-06,1,2
SDA-03X,SDA-07,1,2
SDA-03X,SDA-08,1,2
SDA-03X,SDC03,0,3
SDA-03X,SDD03,0,3
SDA-03X,SDG-02,0,3
SDA-03X,SDG-03,1,2
SDA-03X,SDG-04,0,3
SDA-03X,SDX-05,0,3
SDA-03X,SDX-06,0,3
SDA-03X,SDA-09,1,2
SDA-03X,SDA-10,0,3
SDA-03X,SDA-11,0,3
SDA-03X,SDA-12,0,3
SDA-03X,SA-01,0,3
SDA-03X,AA-03,0,3
